"cust_id";"cust_email";"cust_name";"cust_car";"cust_pass";"cust_phone"
1;"abc";"";"abc";"";"abc"
2;"qwe";"qwe";"qwe";"";"qwe"
3;"asad";"cjjf";"ivjccu";"xud";"473743"
4;"a";"a";"a";"a";"a"
5;"ay";"eee";"ay";"ay";"ay"
6;"aeb@g.com";"aebad";"abc123";"123456";"1234567890"
7;"aeb@g.com";"aebad";"abc123";"123456";"1234567890"
8;"a@j.com";"a";"a";"a";"a"
9;"a@j.com";"a";"a";"a";"a"
10;"a";"a";"a";"a";"a"
11;"a";"a";"a";"a";"a"
12;"t";"g";"c";"c";"g"
13;"t";"g";"c";"c";"g"
14;"biq1";"uqv1";"vj qQ";"bqh1+j";"5262q"
15;"a";"a";"abc-123";"a";"636373"
16;"a";"a";"2222";"a";"56"
17;"a";"a";"2222";"a";"56"
18;"hsja";"a";"qqq";"a";"a"
19;"t@g.com";"t";"t";"t";"t"
